Property_ID,Location,Property_Type,Bedrooms,Bathrooms,Square_Feet,Year_Built,Price_USD
1,Houston,Condo,5,3,867,2006,723485
2,Chicago,Condo,4,3,3785,2010,102024
3,New York,Condo,4,2,1645,2019,435185
4,New York,Villa,5,1,3512,2019,389835
5,Chicago,Villa,1,3,3541,2003,783769
6,Phoenix,Apartment,5,2,593,1995,694477
7,Chicago,Apartment,2,4,2549,1996,472154
8,Houston,Apartment,2,2,3554,2021,462869
9,New York,Villa,4,1,3787,2003,493447
10,Los Angeles,Villa,1,2,2180,2016,304270
11,Houston,Apartment,2,1,2315,1999,762676
12,Chicago,Apartment,3,4,857,2009,89249
13,Los Angeles,Condo,1,3,963,1993,617510
14,Houston,Townhouse,2,3,2034,2004,320887
15,New York,Townhouse,2,1,2455,2015,478153
16,Houston,Apartment,5,2,1876,2020,102870
17,Los Angeles,Condo,3,4,1382,2004,97024
18,New York,Condo,5,4,3178,2017,898788
19,New York,Apartment,5,1,2512,2018,133774
20,Los Angeles,Condo,3,1,3820,2007,319220
21,Los Angeles,Villa,5,2,1139,2013,214076
22,Los Angeles,Condo,2,4,3966,2000,580788
23,New York,Villa,3,2,1466,2000,867348
24,Houston,Villa,1,2,570,2023,906597
25,New York,Condo,3,2,1956,2002,595867
26,Phoenix,Apartment,2,4,760,1992,824102
27,Chicago,Villa,3,2,549,2010,412410
28,New York,Condo,1,3,1152,1992,795229
29,Los Angeles,Apartment,2,4,1539,2024,325450
30,Houston,Villa,4,1,2413,2024,846280
31,Los Angeles,Apartment,2,4,1272,2007,521707
32,New York,Villa,4,3,1317,1994,719425
33,New York,Villa,2,4,3862,2019,639099
34,Chicago,Villa,5,4,3440,2004,221994
35,Houston,Condo,3,1,3103,2005,100051
36,Houston,Townhouse,5,4,2040,2000,434598
37,Chicago,Villa,2,2,1953,1993,314054
38,New York,Condo,2,4,3116,2008,487086
39,New York,Villa,1,2,2206,2005,196450
40,Chicago,Villa,1,1,3140,2023,946536
41,Chicago,Apartment,5,4,1742,2014,329655
42,Los Angeles,Villa,2,4,3742,1996,531792
43,New York,Condo,2,1,3132,1995,735068
44,Phoenix,Townhouse,5,1,1321,1999,722192
45,Chicago,Townhouse,5,4,695,1991,430323
46,New York,Townhouse,3,2,2954,2014,545381
47,Los Angeles,Villa,5,2,2560,2023,184094
48,Houston,Villa,1,2,3449,2012,82217
49,New York,Townhouse,3,4,860,1999,899996
50,New York,Villa,4,1,3482,2019,781485
51,Phoenix,Villa,3,4,3298,2016,856867
52,Los Angeles,Apartment,5,2,1957,2012,332139
53,Chicago,Condo,2,3,633,1992,699012
54,New York,Apartment,1,1,1985,1996,276642
55,Chicago,Apartment,5,4,3116,2014,602905
56,New York,Apartment,1,1,1289,1999,691434
57,Los Angeles,Villa,4,4,3183,2002,153643
58,Houston,Apartment,4,1,3498,2020,600063
59,Los Angeles,Condo,2,3,2406,2009,544684
60,New York,Townhouse,2,2,1363,2013,825983
61,New York,Apartment,2,1,2834,1999,763424
62,Chicago,Apartment,2,2,1551,2018,381123
63,New York,Condo,1,3,606,2022,708559
64,New York,Villa,5,4,2306,1990,440713
65,Chicago,Condo,4,3,1985,1998,410188
66,Phoenix,Townhouse,3,3,1961,2007,590974
67,Los Angeles,Condo,5,3,1516,2012,433865
68,Houston,Condo,3,2,688,2021,259624
69,Houston,Villa,4,4,1014,2022,707588
70,Phoenix,Villa,4,3,3573,2019,465391
71,Houston,Townhouse,1,3,3929,2016,485176
72,Phoenix,Apartment,5,4,2211,1991,686514
73,Houston,Villa,3,1,3152,1992,386288
74,Phoenix,Townhouse,2,3,2826,2023,376351
75,Phoenix,Townhouse,5,4,2430,1996,925298
76,Houston,Apartment,5,4,1548,2016,584171
77,Los Angeles,Condo,5,3,1173,2024,892780
78,Houston,Villa,4,3,3238,2003,877798
79,New York,Condo,2,4,739,1997,722960
80,Chicago,Condo,1,2,2475,2021,293656
81,New York,Townhouse,1,4,3632,1996,576655
82,Chicago,Apartment,4,2,2874,1996,411600
83,New York,Townhouse,5,4,1939,2020,892847
84,Houston,Townhouse,3,3,3787,2000,736586
85,Houston,Villa,4,3,2438,2006,936604
86,New York,Villa,1,3,2059,1991,224871
87,Chicago,Townhouse,2,1,596,1993,628144
88,Chicago,Apartment,3,2,3979,2000,692040
89,New York,Condo,2,1,666,1990,321326
90,Phoenix,Apartment,5,2,1621,1995,127582
91,Chicago,Townhouse,1,1,1551,1997,100434
92,New York,Townhouse,3,4,1422,2007,570792
93,Los Angeles,Condo,3,3,2744,2018,708460
94,New York,Condo,1,4,3641,1993,884985
95,Los Angeles,Townhouse,1,2,2376,2016,648265
96,New York,Villa,4,4,3052,2018,784672
97,Los Angeles,Apartment,4,2,1421,1991,749465
98,Chicago,Condo,3,1,2352,2012,755858
99,Los Angeles,Villa,3,4,2573,1999,619431
100,Houston,Villa,2,4,943,2014,212916
